dataset,metric,classifier,noise_type,intensity,accuracy
ECG200,minkowski,svm,missing,0.05,0.815
ECG200,minkowski,1nn,missing,0.1,0.88
ECG200,minkowski,svm,missing,0.1,0.815
ECG200,minkowski,1nn,missing,0.2,0.82
ECG200,minkowski,svm,missing,0.2,0.77
ECG200,minkowski,1nn,missing,0.4,0.805
ECG200,minkowski,svm,missing,0.4,0.765
ECG200,minkowski,1nn,outlier,0.0,0.885
ECG200,minkowski,svm,outlier,0.0,0.81
ECG200,minkowski,1nn,outlier,0.05,0.745
ECG200,minkowski,svm,outlier,0.05,0.745
ECG200,minkowski,1nn,outlier,0.1,0.7
ECG200,minkowski,svm,outlier,0.1,0.76
ECG200,minkowski,1nn,outlier,0.2,0.63
ECG200,minkowski,svm,outlier,0.2,0.695
ECG200,minkowski,1nn,outlier,0.4,0.63
ECG200,minkowski,svm,outlier,0.4,0.665
ECG200,sbd,1nn,jittering,0.0,0.895
ECG200,sbd,svm,jittering,0.0,0.85
ECG200,sbd,1nn,jittering,0.05,0.9
ECG200,sbd,svm,jittering,0.05,0.855
ECG200,sbd,1nn,jittering,0.1,0.895
ECG200,sbd,svm,jittering,0.1,0.855
ECG200,sbd,1nn,jittering,0.2,0.865
ECG200,sbd,svm,jittering,0.2,0.84
ECG200,sbd,1nn,jittering,0.4,0.86
ECG200,sbd,svm,jittering,0.4,0.84
ECG200,sbd,1nn,missing,0.0,0.895
ECG200,sbd,svm,missing,0.0,0.85
ECG200,sbd,1nn,missing,0.05,0.87
ECG200,sbd,svm,missing,0.05,0.87
ECG200,sbd,1nn,missing,0.1,0.86
ECG200,sbd,svm,missing,0.1,0.85
ECG200,sbd,1nn,missing,0.2,0.85
ECG200,sbd,svm,missing,0.2,0.83
ECG200,sbd,1nn,missing,0.4,0.735
ECG200,sbd,svm,missing,0.4,0.805
ECG200,sbd,1nn,outlier,0.0,0.895
ECG200,sbd,svm,outlier,0.0,0.85
ECG200,sbd,1nn,outlier,0.05,0.73
ECG200,sbd,svm,outlier,0.05,0.79
ECG200,sbd,1nn,outlier,0.1,0.58
ECG200,sbd,svm,outlier,0.1,0.73
ECG200,sbd,1nn,outlier,0.2,0.645
ECG200,sbd,svm,outlier,0.2,0.67
ECG200,sbd,1nn,outlier,0.4,0.525
ECG200,sbd,svm,outlier,0.4,0.655
ArrowHead,lcss,1nn,jittering,0.0,0.445626
ArrowHead,lcss,svm,jittering,0.0,0.54031
ArrowHead,lcss,1nn,jittering,0.05,0.459801
ArrowHead,lcss,svm,jittering,0.05,0.559358
ArrowHead,lcss,1nn,jittering,0.1,0.507087
ArrowHead,lcss,svm,jittering,0.1,0.578184
ArrowHead,lcss,1nn,jittering,0.2,0.578516
ArrowHead,lcss,svm,jittering,0.2,0.682835
ArrowHead,lcss,1nn,jittering,0.4,0.464452
ArrowHead,lcss,svm,jittering,0.4,0.753821
ArrowHead,lcss,1nn,missing,0.0,0.445626
ArrowHead,lcss,svm,missing,0.0,0.54031
ArrowHead,lcss,1nn,missing,0.05,0.468882
ArrowHead,lcss,svm,missing,0.05,0.483167
ArrowHead,lcss,1nn,missing,0.1,0.468882
ArrowHead,lcss,svm,missing,0.1,0.549391
ArrowHead,lcss,1nn,missing,0.2,0.46412
ArrowHead,lcss,svm,missing,0.2,0.549945
ArrowHead,lcss,1nn,missing,0.4,0.459358
ArrowHead,lcss,svm,missing,0.4,0.630454
ArrowHead,lcss,1nn,outlier,0.0,0.445626
ArrowHead,lcss,svm,outlier,0.0,0.54031
ArrowHead,lcss,1nn,outlier,0.05,0.417054
ArrowHead,lcss,svm,outlier,0.05,0.559358
ArrowHead,lcss,1nn,outlier,0.1,0.402658
ArrowHead,lcss,svm,outlier,0.1,0.583278
ArrowHead,lcss,1nn,outlier,0.2,0.388372
ArrowHead,lcss,svm,outlier,0.2,0.568882
ArrowHead,lcss,1nn,outlier,0.4,0.312735
ArrowHead,lcss,svm,outlier,0.4,0.530676
ArrowHead,edr,1nn,jittering,0.0,0.905426
ArrowHead,edr,svm,jittering,0.0,0.772757
ArrowHead,edr,1nn,jittering,0.05,0.905316
ArrowHead,edr,svm,jittering,0.05,0.787043
ArrowHead,edr,1nn,jittering,0.1,0.900554
ArrowHead,edr,svm,jittering,0.1,0.825028
ArrowHead,edr,1nn,jittering,0.2,0.696456
ArrowHead,edr,svm,jittering,0.2,0.781949
ArrowHead,edr,1nn,jittering,0.4,0.473976
ArrowHead,edr,svm,jittering,0.4,0.687375
ArrowHead,edr,1nn,missing,0.0,0.905426
ArrowHead,edr,svm,missing,0.0,0.772757
ArrowHead,edr,1nn,missing,0.05,0.857918
ArrowHead,edr,svm,missing,0.05,0.80598
ArrowHead,edr,1nn,missing,0.1,0.829568
ArrowHead,edr,svm,missing,0.1,0.820266
ArrowHead,edr,1nn,missing,0.2,0.805869
ArrowHead,edr,svm,missing,0.2,0.843854
ArrowHead,edr,1nn,missing,0.4,0.83876
ArrowHead,edr,svm,missing,0.4,0.782171
ArrowHead,edr,1nn,outlier,0.0,0.905426
ArrowHead,edr,svm,outlier,0.0,0.772757
ArrowHead,edr,1nn,outlier,0.05,0.687597
ArrowHead,edr,svm,outlier,0.05,0.654374
ArrowHead,edr,1nn,outlier,0.1,0.559468
ArrowHead,edr,svm,outlier,0.1,0.673533
ArrowHead,edr,1nn,outlier,0.2,0.478959
ArrowHead,edr,svm,outlier,0.2,0.654374
ArrowHead,edr,1nn,outlier,0.4,0.359911
ArrowHead,edr,svm,outlier,0.4,0.54474
ArrowHead,erp,1nn,jittering,0.0,0.900443
ArrowHead,erp,svm,jittering,0.0,0.820377
ArrowHead,erp,1nn,jittering,0.05,0.900443
ArrowHead,erp,svm,jittering,0.05,0.82979
ArrowHead,erp,1nn,jittering,0.1,0.857697
ArrowHead,erp,svm,jittering,0.1,0.83433
ArrowHead,erp,1nn,jittering,0.2,0.687375
ArrowHead,erp,svm,jittering,0.2,0.715947
ArrowHead,erp,1nn,jittering,0.4,0.492802
ArrowHead,erp,svm,jittering,0.4,0.70155
ArrowHead,erp,1nn,missing,0.0,0.900443
ArrowHead,erp,svm,missing,0.0,0.820377
