,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
C(metric)[T.erp]:C(classifier)[T.svm]:C(noise_type)[T.outlier],0.000,0.071,0.000,1.000,-0.139,0.139
C(metric)[T.euclidean]:C(classifier)[T.svm]:C(noise_type)[T.outlier],0.000,0.071,0.000,1.000,-0.139,0.139
C(metric)[T.lcss]:C(classifier)[T.svm]:C(noise_type)[T.outlier],0.000,0.071,0.000,1.000,-0.139,0.139
C(metric)[T.manhattan]:C(classifier)[T.svm]:C(noise_type)[T.outlier],0.000,0.071,0.000,1.000,-0.139,0.139
C(metric)[T.minkowski]:C(classifier)[T.svm]:C(noise_type)[T.outlier],0.000,0.071,0.000,1.000,-0.139,0.139
C(metric)[T.msm]:C(classifier)[T.svm]:C(noise_type)[T.outlier],0.000,0.071,0.000,1.000,-0.139,0.139
C(metric)[T.sbd]:C(classifier)[T.svm]:C(noise_type)[T.outlier],0.000,0.071,0.000,1.000,-0.139,0.139
C(metric)[T.shape_dtw]:C(classifier)[T.svm]:C(noise_type)[T.outlier],0.000,0.071,0.000,1.000,-0.139,0.139
C(metric)[T.twe]:C(classifier)[T.svm]:C(noise_type)[T.outlier],0.000,0.071,0.000,1.000,-0.139,0.139
C(metric)[T.wddtw]:C(classifier)[T.svm]:C(noise_type)[T.outlier],0.000,0.071,0.000,1.000,-0.139,0.139
C(metric)[T.wdtw]:C(classifier)[T.svm]:C(noise_type)[T.outlier],0.000,0.071,0.000,1.000,-0.139,0.139
C(metric)[T.ddtw]:C(classifier)[T.svm]:C(intensity)[T.0.05],0.071,0.071,0.994,0.320,-0.069,0.210
C(metric)[T.dtw]:C(classifier)[T.svm]:C(intensity)[T.0.05],-0.012,0.071,-0.171,0.864,-0.151,0.127
C(metric)[T.edr]:C(classifier)[T.svm]:C(intensity)[T.0.05],-0.009,0.071,-0.121,0.904,-0.148,0.131
C(metric)[T.erp]:C(classifier)[T.svm]:C(intensity)[T.0.05],-0.025,0.071,-0.350,0.726,-0.164,0.114
C(metric)[T.euclidean]:C(classifier)[T.svm]:C(intensity)[T.0.05],-0.017,0.071,-0.243,0.808,-0.157,0.122
