metric,noise_type,contrast,diff,SE,z,p_raw,CI_low,CI_high,p_fdr
manhattan,outlier,I0.2-I0.0,-0.364582,0.035529,-10.2615,0.0,-0.434219,-0.294944,0.0
manhattan,outlier,I0.4-I0.0,-0.44441,0.035529,-12.5083,0.0,-0.514047,-0.374773,0.0
manhattan,outlier,linear_trend,-1.038309,0.079446,-13.0694,0.0,-1.194023,-0.882596,0.0
minkowski,jittering,I0.05-I0.0,-0.054935,0.035529,-1.5462,0.122057,-0.124572,0.014702,0.14266402597402597
minkowski,jittering,I0.1-I0.0,-0.072597,0.035529,-2.0433,0.041023,-0.142234,-0.00296,0.05312330935251798
minkowski,jittering,I0.2-I0.0,-0.120362,0.035529,-3.3877,0.000705,-0.189999,-0.050725,0.0011432432432432432
minkowski,jittering,I0.4-I0.0,-0.211252,0.035529,-5.9459,0.0,-0.280889,-0.141614,0.0
minkowski,jittering,linear_trend,-0.497076,0.079446,-6.2568,0.0,-0.65279,-0.341363,0.0
minkowski,missing,I0.05-I0.0,-0.097678,0.035529,-2.7492,0.005974,-0.167315,-0.028041,0.008534285714285715
minkowski,missing,I0.1-I0.0,-0.119015,0.035529,-3.3498,0.000809,-0.188652,-0.049378,0.0013001785714285715
minkowski,missing,I0.2-I0.0,-0.175945,0.035529,-4.9521,1e-06,-0.245582,-0.106308,2.195121951219512e-06
minkowski,missing,I0.4-I0.0,-0.225546,0.035529,-6.3482,0.0,-0.295183,-0.155909,0.0
minkowski,missing,linear_trend,-0.494652,0.079446,-6.2263,0.0,-0.650365,-0.338938,0.0
minkowski,outlier,I0.05-I0.0,-0.269756,0.035529,-7.5925,0.0,-0.339393,-0.200118,0.0
minkowski,outlier,I0.1-I0.0,-0.346928,0.035529,-9.7646,0.0,-0.416566,-0.277291,0.0
minkowski,outlier,I0.2-I0.0,-0.420617,0.035529,-11.8386,0.0,-0.490255,-0.35098,0.0
minkowski,outlier,I0.4-I0.0,-0.423306,0.035529,-11.9143,0.0,-0.492943,-0.353668,0.0
minkowski,outlier,linear_trend,-0.825353,0.079446,-10.3889,0.0,-0.981067,-0.669639,0.0
msm,jittering,I0.05-I0.0,-0.05217,0.035529,-1.4684,0.142,-0.121808,0.017467,0.16177215189873417
msm,jittering,I0.1-I0.0,-0.072862,0.035529,-2.0508,0.040289,-0.1425,-0.003225,0.05299751824817518
msm,jittering,I0.2-I0.0,-0.121898,0.035529,-3.4309,0.000602,-0.191536,-0.052261,0.0010166666666666666
msm,jittering,I0.4-I0.0,-0.207066,0.035529,-5.8281,0.0,-0.276703,-0.137429,0.0
msm,jittering,linear_trend,-0.490013,0.079446,-6.1679,0.0,-0.645727,-0.334299,0.0
msm,missing,I0.05-I0.0,-0.047835,0.035529,-1.3463,0.17819,-0.117472,0.021803,0.19798888888888888
msm,missing,I0.1-I0.0,-0.069799,0.035529,-1.9645,0.049468,-0.139436,-0.000161,0.06226741258741259
msm,missing,I0.2-I0.0,-0.091075,0.035529,-2.5634,0.010366,-0.160712,-0.021437,0.014352923076923077
msm,missing,I0.4-I0.0,-0.142282,0.035529,-4.0046,6.2e-05,-0.211919,-0.072645,0.000124
msm,missing,linear_trend,-0.318508,0.079446,-4.0091,6.1e-05,-0.474222,-0.162794,7.41891891891892e-05
msm,outlier,I0.05-I0.0,-0.13476,0.035529,-3.7929,0.000149,-0.204398,-0.065123,0.00027090909090909086
msm,outlier,I0.1-I0.0,-0.19546,0.035529,-5.5014,0.0,-0.265097,-0.125822,0.0
msm,outlier,I0.2-I0.0,-0.276857,0.035529,-7.7924,0.0,-0.346494,-0.20722,0.0
msm,outlier,I0.4-I0.0,-0.309961,0.035529,-8.7241,0.0,-0.379598,-0.240323,0.0
msm,outlier,linear_trend,-0.68084,0.079446,-8.5699,0.0,-0.836554,-0.525127,0.0
sbd,jittering,I0.05-I0.0,-0.057563,0.035529,-1.6202,0.105195,-0.127201,0.012074,0.12623399999999999
sbd,jittering,I0.1-I0.0,-0.081515,0.035529,-2.2943,0.021772,-0.151152,-0.011878,0.029465864661654132
sbd,jittering,I0.2-I0.0,-0.128439,0.035529,-3.615,0.0003,-0.198077,-0.058802,0.0005192307692307692
sbd,jittering,I0.4-I0.0,-0.200663,0.035529,-5.6478,0.0,-0.2703,-0.131026,0.0
sbd,jittering,linear_trend,-0.467556,0.079446,-5.8852,0.0,-0.62327,-0.311843,0.0
sbd,missing,I0.05-I0.0,-0.099413,0.035529,-2.7981,0.005141,-0.16905,-0.029776,0.00746274193548387
sbd,missing,I0.1-I0.0,-0.121779,0.035529,-3.4276,0.000609,-0.191417,-0.052142,0.0010166666666666666
sbd,missing,I0.2-I0.0,-0.156567,0.035529,-4.4067,1e-05,-0.226205,-0.08693,2.1176470588235296e-05
sbd,missing,I0.4-I0.0,-0.228199,0.035529,-6.4229,0.0,-0.297836,-0.158562,0.0
